Date,AMD,NVDA
2020-01-02,,
2020-01-03,0.989816700294532,0.9839945853456933
2020-01-06,0.985539733064414,0.988120983183026
2020-01-07,0.9826884215776687,1.0000835358171796
2020-01-08,0.9741344871174328,1.001959497906613
2020-01-09,0.9973523980151141,1.0129635449214653
2020-01-10,0.9810590563324363,1.0183822721981857
2020-01-13,0.9928717212831366,1.050310923346304
2020-01-14,0.9818737389550525,1.0307202568366995
2020-01-15,0.9887983858624672,1.0235924793805888
2020-01-16,1.0136456620053809,1.0375978261520613
2020-01-17,1.0372709142143703,1.0390565883285448
2020-01-21,1.0397148843898076,1.0334712685904126
2020-01-22,1.0474542139198384,1.0425162968715993
2020-01-23,1.0531568368933288,1.0539787526728863
2020-01-24,1.02545824926367,1.0440585150031043
2020-01-27,1.0032586527980532,1.0012091130708394
2020-01-28,1.0291242433730314,1.0335961730053922
2020-01-29,0.967617103828915,1.023467415241293
2020-01-30,0.9934826944038931,1.0245929126327953
2020-01-31,0.9572301723139983,0.9854947959821343
2020-02-03,0.9780041130362425,1.0017511375366113
2020-02-04,1.007128356409274,1.0300949361402214
2020-02-05,1.0150713177487531,1.045225860165354
2020-02-06,1.004480676731977,1.0597727522296507
2020-02-07,1.0128309793827643,1.048685169397619
2020-02-10,1.064358451030861,1.0961198571265987
2020-02-11,1.0957230327698813,1.1166275009333881
2020-02-12,1.0975560298245621,1.1360096473486754
2020-02-13,1.1105906410167756,1.128673749109037
2020-02-14,1.1264766413881453,1.2079115446738922
2020-02-18,1.1586558280573707,1.236172366495428
2020-02-19,1.1995927363811025,1.3117424125958586
2020-02-20,1.1663951575874014,1.2867330188095338
2020-02-21,1.0851323917531055,1.2257517924063057
2020-02-24,1.0004073413113077,1.1390940836116852
2020-02-25,0.9688391277628389,1.092285195752131
2020-02-26,0.9672098402100178,1.1156270676811813
2020-02-27,0.8963340058906383,1.053525055753768
2020-02-28,0.926272931886286,1.1263874552522337
2020-03-02,0.9665987893968502,1.1529134314173726
2020-03-03,0.9521385224612642,1.108954185076557
2020-03-04,1.0205703089127955,1.18661286619295
2020-03-05,0.9798371100909232,1.1398173153137674
2020-03-06,0.9896130684850831,1.1095794259108769
2020-03-09,0.8812627658342957,1.02366251849308
2020-03-10,0.9242363030221568,1.088892651283883
2020-03-11,0.9307536086182634,1.0279585435538252
2020-03-12,0.7945010088359575,0.9021695753130089
2020-03-13,0.8940937452170605,1.0044773121592123
2020-03-16,0.7883910445511589,0.8191301813070633
2020-03-17,0.8529532050838802,0.9061731451514677
2020-03-18,0.7967413472019462,0.8459063656129513
2020-03-19,0.8109979823280837,0.888239298969977
2020-03-20,0.8067210150979658,0.8581266334306978
2020-03-23,0.8480651870405946,0.8870713149104638
2020-03-24,0.9413442496350394,1.0392610354528076
2020-03-25,0.9089613534639545,1.0244133026396431
2020-03-26,0.967413472019466,1.0728770142733635
2020-03-27,0.9486762378537621,1.054067399668172
2020-03-30,0.9747454602381888,1.1077025054755483
2020-03-31,0.9262729318862857,1.09940307030066
2020-04-01,0.8892057271737748,1.0137778993457285
2020-04-02,0.906110041977209,1.0654950355686077
2020-04-03,0.867413472019466,1.0172816119377945
2020-04-06,0.9678208133307739,1.1194225167361127
2020-04-07,0.9686354959533899,1.0803429281060881
2020-04-08,0.993686403905752,1.1133749548279663
2020-04-09,0.9853361012549646,1.096692069488063
2020-04-13,1.037474546023818,1.1254696793334698
2020-04-14,1.1187373118581139,1.1842770577982396
2020-04-15,1.1199593357920379,1.1713064850068775
2020-04-16,1.159877851991294,1.2291123121492298
2020-04-17,1.1527494955820197,1.2191861646797622
2020-04-20,1.1602851933026022,1.1972065015782754
2020-04-21,1.077800403534382,1.1240518065818392
2020-04-22,1.1389002017671903,1.193452820431934
2020-04-23,1.1384929381482933,1.1845274256633045
2020-04-24,1.144195561121784,1.2078001369636
2020-04-27,1.1505092349084423,1.239038779067329
2020-04-28,1.1305498991164031,1.2151821156683555
2020-04-29,1.0928717212831358,1.2447943649261366
2020-04-30,1.0670061307081575,1.2190193326318766
2020-05-01,1.0158860003713688,1.1793973202252903
2020-05-04,1.0704684930080706,1.2148903792054904
2020-05-05,1.0629327952874883,1.2251086624486127
2020-05-06,1.0623218221667319,1.2419999880206753
2020-05-07,1.058044854936614,1.271528701461277
2020-05-08,1.0832993946984244,1.3033515352501575
2020-05-11,1.1352342853502404,1.345559005157098
2020-05-12,1.0949083501472652,1.3016830550469882
2020-05-13,1.0627291634780398,1.2979292940384888
2020-05-14,1.1101832997054673,1.3397200432054266
2020-05-15,1.1038697036112202,1.4165034350710664
2020-05-18,1.1118126649506994,1.459795113633867
2020-05-19,1.1297352941861982,1.4690128039004668
2020-05-20,1.1484725283519022,1.4964558372249488
2020-05-21,1.1130346888846234,1.4639661544174745
2020-05-22,1.1236252522089885,1.5058399602286443
2020-05-26,1.0832993946984242,1.4543734314573036
2020-05-27,1.0741344871174319,1.4222591007920318
2020-05-28,1.0537678877064958,1.415877635201641
2020-05-29,1.095723032769881,1.4806905680794935
2020-06-01,1.0922607481623792,1.4691377083154462
2020-06-02,1.0904277511076985,1.472307277638794
2020-06-03,1.0739307776155722,1.463006690452278
2020-06-04,1.071894148751443,1.463173921810953
2020-06-05,1.0814663976437433,1.4887937020702255
2020-06-08,1.0788187956588575,1.4695997907611449
2020-06-09,1.1484725283519017,1.509823644389782
2020-06-10,1.1698574421949026,1.5633586030511324
2020-06-11,1.0759674841721125,1.4681391118928717
2020-06-12,1.0896130684850824,1.4908801808079244
2020-06-15,1.11364566200538,1.5311455627586774
2020-06-16,1.1091649852734027,1.5135787630549662
2020-06-17,1.1109979823280833,1.541535789227792
2020-06-18,1.1006110508131668,1.5385313748470133
2020-06-19,1.1044806767319766,1.5457501153009896
2020-06-22,1.1152749495582013,1.5900632308635285
2020-06-23,1.0995927363811022,1.5772531810095765
2020-06-24,1.0670061307081578,1.5414520936862965
2020-06-25,1.0576375136253058,1.5839293379626755
2020-06-26,1.0203665994109352,1.528016403687235
2020-06-29,1.0240325935202965,1.5355271201905503
2020-06-30,1.0714868074401351,1.5852231049209056
2020-07-01,1.0708758343193785,1.5906056546400902
2020-07-02,1.065987816276093,1.6043334804128064
2020-07-06,1.0875764396209533,1.6422210464737852
2020-07-07,1.0780041130362419,1.6476456036880334
2020-07-08,1.08818741274171,1.705102592924611
2020-07-09,1.1661914480855415,1.7540061853241296
2020-07-10,1.1380855968369856,1.7490405160692635
2020-07-13,1.091446065539763,1.6777723249671057
2020-07-14,1.114460344627996,1.7319742923713661
2020-07-15,1.1270876145089013,1.706980311981519
2020-07-16,1.1185336023562544,1.6915415193376224
2020-07-17,1.120977650224103,1.7026827695397735
2020-07-20,1.170264783506211,1.7542978419248367
2020-07-21,1.160896166423359,1.723878825147794
2020-07-22,1.2584521962479218,1.742280663574669
2020-07-23,1.213238320694072,1.690706959787406
2020-07-24,1.4134420301959314,1.7015142264451548
2020-07-27,1.404684386233836,1.739401473057502
2020-07-28,1.3769857986041771,1.7050193765560635
2020-07-29,1.549694474593415,1.7467451179264581
2020-07-30,1.592668011781276,1.7715311372570932
2020-07-31,1.5769857986041769,1.771656201396389
2020-08-03,1.5818737389550512,1.8376670666429735
2020-08-04,1.7319756325521865,1.8739687299720678
2020-08-05,1.7374745460238175,1.883816213215989
2020-08-06,1.7659878162760922,1.8919525698644137
2020-08-07,1.7281059289409653,1.8692538278930564
2020-08-10,1.6749490920476362,1.8634957663073533
2020-08-11,1.5657841067742329,1.8109205910598305
2020-08-12,1.6824847897682185,1.9094364726482091
2020-08-13,1.666802421206297,1.9098953606075912
2020-08-14,1.655804594263035,1.9300907433769314
2020-08-17,1.6786150861569975,2.0591085386622687
2020-08-18,1.6631365824817579,2.0463817051768642
2020-08-19,1.651527471648095,2.0259775627267333
2020-08-20,1.6857433648738605,2.026394922363999
